case118	131588.0	168853.0	1.0	72.0	12.966278484624645	0.10739757700000002	0.755998062	1.0395410060882568
case300	28972.0	37857.0	1.0	83.0	71.99192349324815	0.1125781360000001	0.7287637779999997	1.033134937286377
case_ACTIVSg200	17546.0	22841.0	1.0	58.0	2.755779347679608	0.09362318500000007	0.3608436240000001	0.595811128616333
case_ACTIVSg200	81906.0	106721.0	1.0	121.0	2.7566029227967106	0.1673431060000001	0.993038868	1.4408738613128662
case_ACTIVSg200	162356.0	211571.0	1.0	219.0	2.756374930380967	0.2936376449999999	3.074388159999999	3.8849120140075684
case_ACTIVSg500	40750.0	53753.0	1.0	241.0	7.471531296129869	0.3021050909999998	2.45744735	3.2925989627838135
case_ACTIVSg500	189750.0	250433.0	1.0	317.0	7.827376489488687	0.41956913599999995	5.7179100940000005	6.878421783447266
case_ACTIVSg500	376000.0	496283.0	1.0	197.0	7.8276490644539	0.32465111799999974	6.288749629000007	7.188747882843018
case1354pegase	109056.0	144359.0	1.0	348.0	7.410766952161026	0.4082039229999998	11.118199845000003	12.331400871276855
case1354pegase	206920.0	274063.0	1.0	204.0	7.413419345960409	0.2602117709999997	6.7407938750000005	7.511763095855713
case1354pegase	402648.0	533471.0	1.0	165.0	7.421724057206841	0.2585757940000002	11.436458736000006	12.222217082977295
case_ACTIVSg2000	173224.0	230045.0	6.0	1000.0	123.14673389423703	1.2419997169999994	42.693967181000076	46.41149377822876
case_ACTIVSg2000	328752.0	436853.0	6.0	1000.0	124.29918126971732	1.4226658189999992	104.50077786400014	108.69169092178345
case2869pegase	242102.0	323543.0	1.0	223.0	13.415953098882293	0.3003067359999998	14.178403708999996	15.053065061569214
case2869pegase	459118.0	613855.0	1.0	605.0	13.423862297839815	1.4921684090000022	51.25849887300004	54.71680498123169
